Product ID,product_name,l1_category_name,l2_category_name,business_tagging,primary_vendor_name,Ship Date,Batch,Yes,Check
25110,SoKlin Lantai Purple Twilight Pouch Pembersih Lantai 780 ml,Perawatan Rumah,Pembersih Lantai,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
20934,SoKlin Lantai Rose Bouquet Pembersih Lantai 770 ml,Perawatan Rumah,Pembersih Lantai,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
23455,SoKlin Lantai Sereh Pouch Pembersih Lantai 770 ml,Perawatan Rumah,Pembersih Lantai,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 10,Yes,Dry
10236,SoKlin Liquid Anti Bacterial Deterjen Cair 1 Liter,Kebutuhan Cuci Baju,Deterjen Cair,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
11275,SoKlin Liquid Anti Bacterial Deterjen Cair 720 ml,Kebutuhan Cuci Baju,Deterjen Cair,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
29590,SoKlin Liquid English Rose Deterjen Cair 720 ml,Kebutuhan Cuci Baju,Deterjen Cair,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
35799,SoKlin Liquid French Lilac Deterjen Cair,Kebutuhan Cuci Baju,Deterjen Cair,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
31421,SoKlin Liquid Korean Camellia Deterjen Cair 525 ml,Kebutuhan Cuci Baju,Deterjen Cair,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 04,Yes,Dry
4623,SoKlin Liquid Pink Deterjen Cair 1600 ml,Kebutuhan Cuci Baju,Deterjen Cair,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 05,Yes,Dry
23456,SoKlin Liquid Provence Lavender Deterjen Cair 1600 ml,Kebutuhan Cuci Baju,Deterjen Cair,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 11,Yes,Dry
23457,SoKlin Liquid Provence Lavender Deterjen Cair 525 ml,Kebutuhan Cuci Baju,Deterjen Cair,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
21352,SoKlin Liquid Sakura Strawberry Deterjen Cair 1 pcs,Kebutuhan Cuci Baju,Deterjen Cair,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 11,Yes,Dry
31422,SoKlin Liquid Sakura Strawberry Deterjen Cair 525 ml,Kebutuhan Cuci Baju,Deterjen Cair,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 11,Yes,Dry
20615,SoKlin Liquid Scarlett Blossom Deterjen Cair 1 Liter,Kebutuhan Cuci Baju,Deterjen Cair,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
4620,SoKlin Liquid Scarlett Blossom Deterjen Cair 1600 ml,Kebutuhan Cuci Baju,Deterjen Cair,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 08,Yes,Dry
11279,SoKlin Liquid Scarlett Blossom Deterjen Cair 720 ml,Kebutuhan Cuci Baju,Deterjen Cair,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 11,Yes,Dry
11278,Soklin Liquid Soft Nature Deterjen Cair Pouch 700 ml,Kebutuhan Cuci Baju,Deterjen Cair,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
11282,SoKlin Liquid Violet Blossom Deterjen Cair 1 Liter,Kebutuhan Cuci Baju,Deterjen Cair,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
4626,SoKlin Liquid Violet Deterjen Cair 1600 ml,Kebutuhan Cuci Baju,Deterjen Cair,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 05,Yes,Dry
1567,SoKlin Liquid Violet Deterjen Cair Pouch 720 ml,Kebutuhan Cuci Baju,Deterjen Cair,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 05,Yes,Dry
11271,SoKlin Liquid White & Bright Deterjen Cair 1 Liter,Kebutuhan Cuci Baju,Deterjen Cair,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
31423,SoKlin Liquid White & Bright Deterjen Cair 525 ml,Kebutuhan Cuci Baju,Deterjen Cair,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
35800,Soklin Pembersih Lantai Clean & Protect Citrus Garden 1450ML,Perawatan Rumah,Pembersih Lantai,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
29594,SoKlin Pembersih Lantai Sereh Jerigen 4 Liter,Perawatan Rumah,Cairan Pembersih,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 09,Yes,Dry
11584,SoKlin Pemutih Botol Penghilang Noda Pakaian 1 Liter,Kebutuhan Cuci Baju,Penghilang Noda,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
31424,SoKlin Pewangi Active Sport Pelicin Pelembut Pakaian 1700 ml,Kebutuhan Cuci Baju,Pelembut Pakaian,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 11,Yes,Dry
25118,SoKlin Pewangi Active Sport Pelicin Pelembut Pakaian 800 ml,Kebutuhan Cuci Baju,Pelembut Pakaian,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 11,Yes,Dry
11590,SoKlin Pewangi Comfort Blue Pelicin Pelembut Pakaian 800 ml,Kebutuhan Cuci Baju,Pelembut Pakaian,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
11591,SoKlin Pewangi Energetic Red Pelicin Pelembut Pakaian 800 ml,Kebutuhan Cuci Baju,Pelembut Pakaian,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
11589,SoKlin Pewangi Pakaian Comfort Blue 1700 ml,Kebutuhan Cuci Baju,Pelembut Pakaian,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 11,Yes,Dry
21351,SoKlin Pewangi Pakaian Energetic Red 1700 ml,Kebutuhan Cuci Baju,Pelembut Pakaian,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 09,Yes,Dry
11597,SoKlin Pewangi Pakaian Exotic Purple 1700 ml,Kebutuhan Cuci Baju,Pelembut Pakaian,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 11,Yes,Dry
11592,SoKlin Pewangi Pakaian Exotic Purple 800 ml,Kebutuhan Cuci Baju,Pelembut Pakaian,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
11594,SoKlin Pewangi Pakaian Hijab Double Perfume Pouch 1700 ml,Kebutuhan Cuci Baju,Pelembut Pakaian,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 11,Yes,Dry
11595,SoKlin Pewangi Pakaian Romantic Pink 1700 ml,Kebutuhan Cuci Baju,Pelembut Pakaian,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 08,Yes,Dry
11596,SoKlin Pewangi Pakaian Romantic Pink 800 ml,Kebutuhan Cuci Baju,Pelembut Pakaian,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 11,Yes,Dry
11266,SoKlin Smart Color Care Deterjen Bubuk 725 gram,Kebutuhan Cuci Baju,Deterjen Bubuk,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 11,Yes,Dry
11608,SoKlin Softener 1x Bilas Pelembut Pakaian Pouch 650 ml,Kebutuhan Cuci Baju,Pelembut Pakaian,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
11606,SoKlin Softener Blue 1x Bilas Pelembut dan Pewangi Pakaian Konsentrat 720 ml,Kebutuhan Cuci Baju,Pelembut Pakaian,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 11,Yes,Dry
11614,SoKlin Softener Fine Pelembut Pakaian Pouch 650 ml,Kebutuhan Cuci Baju,Pelembut Pakaian,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
11616,SoKlin Softener Love In Paris Pelembut dan Pengharum Pakaian 1800 ml,Kebutuhan Cuci Baju,Pelembut Pakaian,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 11,Yes,Dry
11617,SoKlin Softener Love In Paris Pelembut Pakaian 900 ml,Kebutuhan Cuci Baju,Pelembut Pakaian,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
11618,SoKlin Softener Mystical Tokyo Pelembut dan Pengharum Pakaian 1800 ml,Kebutuhan Cuci Baju,Pelembut Pakaian,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
11619,SoKlin Softener Mystical Tokyo Pelembut dan Pengharum Pakaian 900 ml,Kebutuhan Cuci Baju,Pelembut Pakaian,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 11,Yes,Dry
11611,SoKlin Softener Starry New York Pelembut dan Pengharum Pakaian 1800 ml,Kebutuhan Cuci Baju,Pelembut Pakaian,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 11,Yes,Dry
11612,SoKlin Softener Starry New York Pelembut dan Pengharum Pakaian 900 ml,Kebutuhan Cuci Baju,Pelembut Pakaian,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
11609,SoKlin Softener Twilight Glamorous Purple Pelembut Pakaian Pouch 650 ml,Kebutuhan Cuci Baju,Pelembut Pakaian,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
1564,SoKlin Softergent Deterjen Cair Pouch 720 ml,Kebutuhan Cuci Baju,Deterjen Cair,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 11,Yes,Dry
20943,SoKlin Softergent Japanese Sakura & Strawberry Deterjen Bubuk Bag 1500 gram,Kebutuhan Cuci Baju,Deterjen Bubuk,QUICK_COMMERCE_&_SCHEDULE_DELIVERY,PT Sayap Utama / Wings Group,5 Mar 2025,Batch 12,Yes,Dry
